Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /query,312,31,6400,7473.401074038684,831.3555000058841,19977.286900015315,2385.63141025641,1.0448531438756015,0.10381553673122963,6400,9100,11000,12000,14000,15000,16000,16000,20000,20000,20000
,Aggregated,312,31,6400,7473.401074038684,831.3555000058841,19977.286900015315,2385.63141025641,1.0448531438756015,0.10381553673122963,6400,9100,11000,12000,14000,15000,16000,16000,20000,20000,20000
