Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /query,159,8,5800,7245.329419496351,832.4624999950174,22979.375900002196,1237.559748427673,0.5337064533060072,0.026853154883321115,5800,7900,11000,11000,14000,16000,17000,23000,23000,23000,23000
,Aggregated,159,8,5800,7245.329419496351,832.4624999950174,22979.375900002196,1237.559748427673,0.5337064533060072,0.026853154883321115,5800,7900,11000,11000,14000,16000,17000,23000,23000,23000,23000
