Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /query,645,128,6300,7002.606781239779,787.1880000166129,25147.38480001688,2026.6248062015504,2.166993088631492,0.43003893851911784,6300,8000,9600,12000,15000,16000,17000,18000,25000,25000,25000
,Aggregated,645,128,6300,7002.606781239779,787.1880000166129,25147.38480001688,2026.6248062015504,2.166993088631492,0.43003893851911784,6300,8000,9600,12000,15000,16000,17000,18000,25000,25000,25000
